Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
002884;60599;CTL;15670010;31/12/2019;31/12/2019;29/02/2020;1,14;0,13;-0,27;0,07;0,79;3,81
006649;60943;LEG;52466010;31/12/2019;31/12/2019;29/02/2020;0,23;0,17;0,24;0,18;0,73;2,67
007875;60986;NWL;65122910;31/12/2019;31/12/2019;29/02/2020;0,69;0,08;0,03;0,07;0,68;2,14
001161;61241;AMD;00790310;31/12/2019;31/12/2019;29/02/2020;0,05;0,14;0,17;0,19;0,53;1,13
007912;61815;NBL;65504410;31/12/2019;31/12/2019;29/02/2020;0,75;0,02;-0,15;-0,11;0,56;1,37
010530;62092;TMO;88355610;31/12/2019;31/12/2019;29/02/2020;0,25;0,11;0,12;0,09;0,49;0,97
002574;62148;CSX;12640810;31/12/2019;31/12/2019;29/02/2020;0,34;0,17;0,18;0,17;0,69;2,23
010614;62308;GL;37959E10;31/12/2019;31/12/2019;29/02/2020;0,64;0,04;0,12;0,13;0,72;2,56
009904;63765;SWN;84546710;31/12/2019;31/12/2019;29/02/2020;2,48;0,12;0,32;0,06;0,52;1,07
002547;64186;CI;12552310;31/12/2019;31/12/2019;29/02/2020;0,72;0,08;0,1;0,11;0,71;2,43
007923;64311;NSC;65584410;31/12/2019;31/12/2019;29/02/2020;0,44;0,14;0,12;0,14;0,6;1,5
013341;64390;PGR;74331510;31/12/2019;31/12/2019;29/02/2020;0,31;0,11;0,34;0,33;0,75;3
004029;64936;D;25746U10;31/12/2019;31/12/2019;29/02/2020;0,52;0,09;0,04;0,09;0,67;2,18
009783;64995;KEY;49326710;31/12/2019;31/12/2019;29/02/2020;0,77;0,02;0,12;0,11;0,88;7,51
002136;65875;VZ;92343V10;31/12/2019;31/12/2019;29/02/2020;0,38;0,17;0,21;0,17;0,78;3,73
009899;66093;T;00206R10;31/12/2019;31/12/2019;29/02/2020;0,86;0,11;0,06;0,08;0,63;1,9
004723;66157;USB;90297330;31/12/2019;31/12/2019;29/02/2020;0,5;0,03;0,15;0,11;0,89;8,54
020430;66325;SLM;78442P10;31/12/2019;31/12/2019;29/02/2020;0,78;0,03;0,21;0,12;0,9;8,87
001487;66800;AIG;02687478;31/12/2019;31/12/2019;29/02/2020;1,46;0,02;0,05;0,07;0,87;6,97
012124;69032;MS;61744644;31/12/2019;31/12/2019;29/02/2020;0,9;0,03;0,13;0,05;0,91;9,97
012389;70033;HOG;41282210;31/12/2019;31/12/2019;29/02/2020;0,32;0,1;0,24;0,09;0,83;4,84
003243;70519;C;17296742;31/12/2019;31/12/2019;29/02/2020;1,04;0,02;0,11;0,06;0,9;9,09
004213;70578;ECL;27886510;31/12/2019;31/12/2019;29/02/2020;0,17;0,16;0,17;0,15;0,58;1,4
012726;71175;UNM;91529Y10;31/12/2019;31/12/2019;29/02/2020;1,7;0,03;0,12;0,13;0,85;5,72
011856;71563;TFC;89832Q10;31/12/2019;31/12/2019;29/02/2020;0,82;0,02;0,07;0,06;0,86;6,12
010035;72726;STT;85747710;31/12/2019;31/12/2019;29/02/2020;0,76;0,03;0,11;0,16;0,9;9,05
010115;73139;SYK;86366710;31/12/2019;31/12/2019;29/02/2020;0,16;0,15;0,17;0,15;0,58;1,36
032106;75034;BKR;05722G10;31/12/2019;31/12/2019;29/02/2020;1,32;0,06;0,01;0,06;0,35;0,86
013988;75186;SCHW;80851310;31/12/2019;31/12/2019;29/02/2020;0,31;0,02;0,2;0,2;0,93;12,49
014359;75241;PXD;72378710;31/12/2019;31/12/2019;29/02/2020;0,54;0,19;0,06;0,12;0,36;0,57
016478;75825;EOG;26875P10;31/12/2019;31/12/2019;29/02/2020;0,55;0,21;0,11;0,13;0,42;0,72
020548;76082;COG;12709710;31/12/2019;31/12/2019;29/02/2020;0,41;0,3;0,25;0,26;0,52;1,09
013714;76226;VIAC;92556H20;31/12/2019;31/12/2019;29/02/2020;0,53;0,15;0,39;0,22;0,73;2,72
009063;76282;AN;05329W10;31/12/2019;31/12/2019;29/02/2020;0,76;0,09;0,15;0,09;0,7;2,33
023978;76644;X;91290910;31/12/2019;31/12/2019;29/02/2020;2,11;0,05;-0,15;-0,01;0,65;1,84
024216;76712;AES;00130H10;31/12/2019;31/12/2019;29/02/2020;0,32;0,1;0,07;0,09;0,82;9,19
024468;76841;BIIB;09062X10;31/12/2019;31/12/2019;29/02/2020;0,31;0,3;0,38;0,39;0,51;1,04
008215;77157;OI;67098H10;31/12/2019;31/12/2019;29/02/2020;0,31;0,12;-0,54;0,11;0,94;19,37
024856;77274;GILD;37555810;31/12/2019;31/12/2019;29/02/2020;0,27;0,1;0,25;0,11;0,63;1,73
024925;77338;ROP;77669610;31/12/2019;31/12/2019;29/02/2020;0,29;0,12;0,18;0,11;0,48;0,91
025279;77605;BSX;10113710;31/12/2019;31/12/2019;29/02/2020;0,23;0,12;0,4;0,1;0,55;1,2
027786;78877;CHK;16516710;31/12/2019;31/12/2019;29/02/2020;1,7;0,17;;0;0,73;2,7
028118;79089;FOSL;34988V10;31/12/2019;31/12/2019;29/02/2020;1,27;0,05;-0,1;0,02;0,69;2,19
028180;79103;ORLY;67103H10;31/12/2019;31/12/2019;29/02/2020;0,02;0,23;2,81;0,38;0,96;25,97
028477;79265;FLIR;30244510;31/12/2019;31/12/2019;29/02/2020;0,28;0,15;0,09;0,14;0,4;0,68
028349;79323;ALL;02000210;31/12/2019;31/12/2019;29/02/2020;0,69;0,06;0,22;0,23;0,78;3,6
028742;79545;BWA;09972410;31/12/2019;31/12/2019;29/02/2020;0,54;0,17;0,16;0,19;0,5;1,03
029392;80080;EMN;27743210;31/12/2019;31/12/2019;29/02/2020;0,64;0,12;0,11;0,11;0,62;1,67
030990;81055;COF;14040H10;31/12/2019;31/12/2019;29/02/2020;1,13;0,03;0,11;0,08;0,85;5,72
013888;81593;COOP;62482R10;31/12/2019;31/12/2019;29/02/2020;1,96;0,01;0,24;0,01;0,88;7,2
014590;81774;FCX;35671D85;31/12/2019;31/12/2019;29/02/2020;0,71;0,06;-0,02;0,04;0,57;2,51
020653;82196;DNR;24791620;31/12/2019;31/12/2019;29/02/2020;2,55;0,12;0,13;0,09;0,7;2,32
061409;82298;DO;25271C10;31/12/2019;31/12/2019;29/02/2020;3,31;0,01;-0,1;-0,05;0,45;0,8
061483;82307;DVA;23918K10;31/12/2019;31/12/2019;29/02/2020;0,29;0,13;0,2;0,13;0,8;6,47
061496;82621;MLSS;59935P20;31/12/2019;31/12/2019;29/02/2020;0,02;-0,6;-4,65;-2,46;0,75;2,91
061574;82651;WAT;94184810;31/12/2019;31/12/2019;29/02/2020;;0,26;;0,34;1,08;-12,82
061676;82686;CTXS;17737610;31/12/2019;31/12/2019;29/02/2020;0,06;0,15;0,96;0,27;0,81;4,24
061739;82775;HIG;41651510;31/12/2019;31/12/2019;29/02/2020;0,73;0,05;0,15;0,14;0,77;3,35
062263;83111;ALXN;01535110;31/12/2019;31/12/2019;29/02/2020;0,56;0,16;0,21;0,16;0,36;0,56
063501;83862;ETFC;26924640;31/12/2019;31/12/2019;29/02/2020;0,61;0,03;0,16;0,2;0,89;8,37
063527;83906;SRCL;85891210;31/12/2019;31/12/2019;29/02/2020;0,45;0,07;-0,13;0,04;0,64;1,76
063892;84032;NOV;63707110;31/12/2019;31/12/2019;29/02/2020;0,82;0;-0,55;-0,03;0,4;0,68
011687;84129;ZION;98970110;31/12/2019;31/12/2019;29/02/2020;0,79;0,02;0,12;0,1;0,89;8,41
064166;84373;DGX;74834L10;31/12/2019;31/12/2019;29/02/2020;0,42;0,13;0,15;0,12;0,55;1,26
014794;84387;CMT;21868310;31/12/2019;31/12/2019;29/02/2020;3,3;0,01;-0,17;-0,05;0,53;1,12
