Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
5125;46674;37246010;GENUINE PARTS CO;GPC;01/12/2018;7;6;6;85,71%;85,71%;31/12/2018;31/12/2018;28/02/2019;0,26;0,11;0,22;0,17;0,73;2,67
158354;90162;37247D10;GENWORTH FINANCIAL INC;GNW;01/12/2018;6;5;6;83,33%;100,00%;31/12/2018;31/12/2018;28/02/2019;5,35;0,01;0,01;0,04;0,86;6,97
24856;77274;37555810;GILEAD SCIENCES INC;GILD;01/12/2018;5;4;4;80,00%;80,00%;31/12/2018;31/12/2018;28/02/2019;0,27;0,16;0,26;0,18;0,66;1,97
114628;86868;38141G10;GOLDMAN SACHS GROUP INC;GS;01/12/2018;4;4;1;100,00%;25,00%;31/12/2018;31/12/2018;28/02/2019;1,24;0,03;0,14;0,05;0,9;9,31
5234;16432;38255010;GOODYEAR TIRE & RUBBER CO;GT;01/12/2018;6;5;2;83,33%;33,33%;31/12/2018;31/12/2018;28/02/2019;1,05;0,11;0,14;0,11;0,7;2,43
5439;23819;40621610;HALLIBURTON CO;HAL;01/12/2018;5;4;5;80,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,41;0,17;0,18;0,14;0,63;1,73
61739;82775;41651510;HARTFORD FINANCIAL SERVICES GROUP INC;HIG;01/12/2018;7;6;7;85,71%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,8;0,02;0,11;0,1;0,79;3,75
5518;52978;41805610;HASBRO INC;HAS;01/12/2018;5;5;5;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,17;0,15;0,12;0,17;0,67;2
5597;16600;42786610;HERSHEY CO (THE);HSY;01/12/2018;10;10;5;100,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,07;0,31;0,93;0,37;0,82;4,5
1380;28484;42809H10;HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2018;5;5;3;100,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,8;0,11;-0,03;0,04;0,49;1,03
1300;10145;43851610;HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2018;7;7;4;100,00%;57,14%;31/12/2018;31/12/2018;28/02/2019;0,21;0,15;0,34;0,22;0,68;2,17
27914;48653;44485910;HUMANA INC;HUM;01/12/2018;4;2;2;50,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,26;0,14;0,17;0,2;0,6;1,5
5786;42906;44615010;HUNTINGTON BANCSHARES INC;HBAN;01/12/2018;4;4;4;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,8;0,02;0,14;0,08;0,9;8,8
5878;56573;45230810;ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2018;5;5;2;100,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,1;0,26;0,59;0,3;0,78;3,57
6008;59328;45814010;INTEL CORP;INTC;01/12/2018;4;3;2;75,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,36;0,26;0,28;0,24;0,41;0,71
163610;90993;45866F10;INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);ICE;01/12/2018;4;4;2;100,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,46;0,04;0,1;0,11;0,81;4,39
6066;12490;45920010;INTERNATIONAL BUSINESS MACHINES (IBM) CORP;IBM;01/12/2018;6;5;6;83,33%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,2;0,14;0,45;0,2;0,86;6,34
6078;40272;45950610;INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;01/12/2018;5;5;5;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,47;0,1;0,08;0,1;0,52;1,12
6136;53065;46069010;INTERPUBLIC GROUP OF COMPANIES INC;IPG;01/12/2018;9;7;9;77,78%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,33;0,09;0,24;0,22;0,83;5,44
136725;88352;46120E60;INTUITIVE SURGICAL INC;ISRG;01/12/2018;5;2;2;40,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,12;0,2;0,2;0,22;0,15;0,17
6266;22111;47816010;JOHNSON & JOHNSON;JNJ;01/12/2018;4;4;1;100,00%;25,00%;31/12/2018;31/12/2018;28/02/2019;0,2;0,18;0,23;0,23;0,61;1,56
2968;47896;46625H10;JPMORGAN CHASE & CO;JPM;01/12/2018;5;5;5;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,74;0,03;0,14;0,08;0,9;9,22
121718;86979;48203R10;JUNIPER NETWORKS INC;JNPR;01/12/2018;3;2;2;66,67%;66,67%;31/12/2018;31/12/2018;28/02/2019;0,52;0,08;0,12;0,09;0,48;0,94
6375;26825;48783610;KELLANOVA CO (Kellogg Co prior to 10/2023);K;01/12/2018;5;5;2;100,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,17;0,14;0,45;0,17;0,82;5,62
9783;64995;49326710;KEYCORP;KEY;01/12/2018;4;3;2;75,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,94;0,02;0,13;0,11;0,89;7,95
9783;64995;49326710;KEYERA CORP;KEY;01/12/2018;4;4;0;100,00%;0,00%;31/12/2018;31/12/2018;28/02/2019;0,94;0,02;0,13;0,11;0,89;7,95
