Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
002884;60599;CTL;15670010;31/12/2018;31/12/2018;28/02/2019;1,37;0,12;-0,07;0,06;0,72;2,54
006649;60943;LEG;52466010;31/12/2018;31/12/2018;28/02/2019;0,27;0,17;0,24;0,20;0,66;1,92
007875;60986;NWL;65122910;31/12/2018;31/12/2018;28/02/2019;0,80;0,04;-0,57;0,04;0,70;2,37
001161;61241;AMD;00790310;31/12/2018;31/12/2018;28/02/2019;0,07;0,15;0,35;0,22;0,72;2,60
007912;61815;NBL;65504410;31/12/2018;31/12/2018;28/02/2019;1,16;0,10;-0,01;0,01;0,50;1,12
010530;62092;TMO;88355610;31/12/2018;31/12/2018;28/02/2019;0,33;0,11;0,10;0,08;0,51;1,04
002574;62148;CSX;12640810;31/12/2018;31/12/2018;28/02/2019;0,38;0,17;0,16;0,18;0,66;1,92
010614;62308;TMK;89102710;31/12/2018;31/12/2018;28/02/2019;0,66;0,04;0,12;0,13;0,77;3,26
009904;63765;SWN;84546710;31/12/2018;31/12/2018;28/02/2019;1,27;0,24;0,25;0,18;0,59;1,45
002547;64186;CI;12552310;31/12/2018;31/12/2018;28/02/2019;0,70;0,05;0,08;0,09;0,73;2,73
007923;64311;NSC;65584410;31/12/2018;31/12/2018;28/02/2019;0,54;0,14;0,12;0,15;0,58;1,36
013341;64390;PGR;74331510;31/12/2018;31/12/2018;28/02/2019;0,29;0,08;0,26;0,24;0,76;3,28
004029;64936;D;25746U10;31/12/2018;31/12/2018;28/02/2019;0,52;0,08;0,10;0,08;0,72;2,78
009783;64995;KEY;49326710;31/12/2018;31/12/2018;28/02/2019;0,94;0,02;0,13;0,11;0,89;7,95
002136;65875;VZ;92343V10;31/12/2018;31/12/2018;28/02/2019;0,37;0,18;0,19;0,18;0,79;3,95
009899;66093;T;00206R10;31/12/2018;31/12/2018;28/02/2019;1,16;0,12;0,09;0,08;0,64;1,84
004723;66157;USB;90297330;31/12/2018;31/12/2018;28/02/2019;0,61;0,03;0,16;0,13;0,89;8,15
020430;66325;SLM;78442P10;31/12/2018;31/12/2018;28/02/2019;0,71;0,03;0,21;0,11;0,89;7,96
001487;66800;AIG;02687478;31/12/2018;31/12/2018;28/02/2019;1,66;0,02;0,00;0,02;0,88;7,71
010187;68144;STI;86791410;31/12/2018;31/12/2018;28/02/2019;1,00;0,02;0,12;0,13;0,89;7,91
012124;69032;MS;61744644;31/12/2018;31/12/2018;28/02/2019;1,06;0,03;0,12;0,05;0,90;9,61
012389;70033;HOG;41282210;31/12/2018;31/12/2018;28/02/2019;0,33;0,12;0,29;0,11;0,83;5,01
011923;70332;APC;03251110;31/12/2018;31/12/2018;28/02/2019;0,51;0,16;0,05;0,09;0,73;3,46
003243;70519;C;17296742;31/12/2018;31/12/2018;28/02/2019;1,44;0,02;0,10;0,05;0,90;8,77
004213;70578;ECL;27886510;31/12/2018;31/12/2018;28/02/2019;0,21;0,15;0,17;0,14;0,60;1,50
012726;71175;UNM;91529Y10;31/12/2018;31/12/2018;28/02/2019;1,37;0,01;0,06;0,06;0,86;6,18
011856;71563;BBT;05493710;31/12/2018;31/12/2018;28/02/2019;0,82;0,03;0,12;0,10;0,87;6,49
010035;72726;STT;85747710;31/12/2018;31/12/2018;28/02/2019;0,88;0,03;0,13;0,17;0,90;8,87
010115;73139;SYK;86366710;31/12/2018;31/12/2018;28/02/2019;0,20;0,15;0,33;0,16;0,57;1,32
032106;75034;BHGE;05722G10;31/12/2018;31/12/2018;28/02/2019;1,60;0,05;0,02;0,06;0,33;1,00
013988;75186;SCHW;80851310;31/12/2018;31/12/2018;28/02/2019;0,32;0,02;0,21;0,16;0,93;13,31
014359;75241;PXD;72378710;31/12/2018;31/12/2018;28/02/2019;0,59;0,20;0,08;0,11;0,32;0,48
016478;75825;EOG;26875P10;31/12/2018;31/12/2018;28/02/2019;0,47;0,25;0,16;0,18;0,43;0,75
020548;76082;COG;12709710;31/12/2018;31/12/2018;28/02/2019;0,27;0,27;0,21;0,21;0,50;1,01
013714;76226;CBS;12485720;31/12/2018;31/12/2018;28/02/2019;0,20;0,15;0,69;0,24;0,87;6,80
009063;76282;AN;05329W10;31/12/2018;31/12/2018;28/02/2019;0,87;0,09;0,15;0,08;0,75;2,93
010631;76639;TSS;89190610;31/12/2018;31/12/2018;28/02/2019;0,20;0,18;0,21;0,14;0,65;1,89
023978;76644;X;91290910;31/12/2018;31/12/2018;28/02/2019;1,32;0,15;0,30;0,16;0,62;1,61
024216;76712;AES;00130H10;31/12/2018;31/12/2018;28/02/2019;0,47;0,10;0,25;0,11;0,80;8,12
024468;76841;BIIB;09062X10;31/12/2018;31/12/2018;28/02/2019;0,25;0,29;0,32;0,34;0,48;0,94
008215;77157;OI;69076840;31/12/2018;31/12/2018;28/02/2019;0,33;0,12;0,16;0,12;0,91;11,19
024856;77274;GILD;37555810;31/12/2018;31/12/2018;28/02/2019;0,27;0,16;0,26;0,18;0,66;1,97
024925;77338;ROP;77669610;31/12/2018;31/12/2018;28/02/2019;0,31;0,12;0,12;0,11;0,49;0,97
025279;77605;BSX;10113710;31/12/2018;31/12/2018;28/02/2019;0,19;0,14;0,21;0,13;0,58;1,41
027786;78877;CHK;16516710;31/12/2018;31/12/2018;28/02/2019;;0,23;;0,22;0,96;30,47
028118;79089;FOSL;34988V10;31/12/2018;31/12/2018;28/02/2019;0,75;0,11;-0,01;0,12;0,63;1,68
028180;79103;ORLY;67103H10;31/12/2018;31/12/2018;28/02/2019;0,02;0,27;2,21;0,49;0,96;21,57
028477;79265;FLIR;30244510;31/12/2018;31/12/2018;28/02/2019;0,32;0,16;0,15;0,17;0,33;0,48
028349;79323;ALL;02000210;31/12/2018;31/12/2018;28/02/2019;0,72;0,03;0,11;0,11;0,81;4,25
028742;79545;BWA;09972410;31/12/2018;31/12/2018;28/02/2019;0,59;0,17;0,23;0,21;0,57;1,36
029392;80080;EMN;27743210;31/12/2018;31/12/2018;28/02/2019;0,65;0,13;0,17;0,13;0,63;1,74
030990;81055;COF;14040H10;31/12/2018;31/12/2018;28/02/2019;1,33;0,03;0,13;0,08;0,86;6,20
013888;81593;COOP;62482R10;31/12/2018;31/12/2018;28/02/2019;1,83;0,02;;0,02;0,89;7,74
014590;81774;FCX;35671D85;31/12/2018;31/12/2018;28/02/2019;0,93;0,17;0,21;0,23;0,58;2,48
020653;82196;DNR;24791620;31/12/2018;31/12/2018;28/02/2019;1,84;0,16;0,28;0,14;0,76;3,14
061409;82298;DO;25271C10;31/12/2018;31/12/2018;28/02/2019;2,84;0,04;-0,05;-0,01;0,41;0,68
061483;82307;DVA;23918K10;31/12/2018;31/12/2018;28/02/2019;0,50;0,11;0,13;0,11;0,74;3,80
061496;82621;MLSS;59935P20;31/12/2018;31/12/2018;28/02/2019;0,14;-0,51;-1,69;-1,47;0,76;3,16
061574;82651;WAT;94184810;31/12/2018;31/12/2018;28/02/2019;0,11;0,19;0,31;0,21;0,58;1,38
061676;82686;CTXS;17737610;31/12/2018;31/12/2018;28/02/2019;0,04;0,15;0,73;0,25;0,89;8,30
061739;82775;HIG;41651510;31/12/2018;31/12/2018;28/02/2019;0,80;0,02;0,11;0,10;0,79;3,75
062263;83111;ALXN;01535110;31/12/2018;31/12/2018;28/02/2019;0,44;0,15;0,01;0,13;0,34;0,52
