Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
DISCOVER FINANCIAL SVCS;177376;92121;25470910;DFS;31/12/2019;4;4;4;1;1;0,43;0,04;0,27;0,13;0,9;8,61;USD;113996;284;4778;4942;4942;2957;13989;A
DOMINION ENERGY INC;4029;64936;25746U10;D;31/12/2019;6;6;6;1;1;0,52;0,09;0,04;0,09;0,67;2,18;USD;103823;4980;5593;8248;8248;1358;16572;A
DOVER CORP;4058;25953;26000310;DOV;31/12/2019;4;4;4;1;1;0,2;0,16;0,21;0,17;0,65;1,86;USD;8669,48;186,8;1048,66;1320,95;2902,14;677,92;7136,4;A
DOW INC;34443;18428;26055710;DOW;31/12/2019;5;5;5;1;1;0,34;0,09;-0,09;0,09;0,77;3,43;USD;60524;1970;3556;6229;8584;-1359;42951;A
DTE ENERGY CO;3897;11674;23333110;DTE;31/12/2019;5;3;3;0,6;0,6;0,57;0,08;0,09;0,06;0,72;2,57;USD;41882;2997;1725;2988;2988;1169;12669;A
DUKE ENERGY CORP;4093;27959;26441C20;DUK;31/12/2019;7;5;7;0,7143;1;0,81;0,07;0,07;0,05;0,7;2,37;USD;158838;11122;5745;10293;10293;3748;25079;A
DUPONT DE NEMOURS INC;4060;16851;26614N10;DD;31/12/2019;13;13;9;1;0,6923;0,94;0,04;-0,01;0,03;0,4;0,68;USD;69396;2472;2788;4854;8472;498;21512;A
E TRADE FINANCIAL CORP;63501;83862;26924640;ETFC;31/12/2019;7;6;3;0,8571;0,4286;0,61;0,03;0,16;0,2;0,89;8,37;USD;61416;;;;;;;I
E TRADE FINANCIAL CORP;63501;83862;26924640;ETFC;31/12/2019;7;6;3;0,8571;0,4286;0,61;0,03;0,16;0,2;0,89;8,37;USD;61416;149;1453;1602;1602;955;3139;I
EASTMAN CHEMICAL CO;29392;80080;27743210;EMN;31/12/2019;7;3;5;0,4286;0,7143;0,64;0,12;0,11;0,11;0,62;1,67;USD;16008;425;1309;1919;2844;759;9273;A
EBAY INC;114524;86356;27864210;EBAY;31/12/2019;3;2;1;0,6667;0,3333;0,19;0,15;0,24;0,18;0,84;5,33;USD;18174;554;2398;3081;8927;1786;10800;A
ECOLAB INC;4213;70578;27886510;ECL;31/12/2019;8;8;5;1;0,625;0,17;0,16;0,17;0,15;0,58;1,4;USD;20869,1;800,6;2263,9;3237,2;7194,7;1558,9;14906,3;A
EDISON INTERNATIONAL;9846;15720;28102010;EIX;31/12/2019;5;5;4;1;0,8;0,67;0,06;0,08;0,07;0,76;3,15;USD;64382;4877;2145;3875;3875;1405;12347;A
EDWARDS LIFESCIENCES CORP;133366;87657;28176E10;EW;31/12/2019;3;2;3;0,6667;1;0,09;0,23;0,29;0,3;0,36;0,56;USD;6488,1;254,4;1280,4;1369,7;3396;1046,9;4348;A
LILLY (ELI) & CO;6730;50876;53245710;LLY;31/12/2019;8;7;5;0,875;0,625;0,04;0,17;0,63;0,29;0,93;14,03;USD;39286,1;1033,9;5874,1;6914,6;18723,4;8318,4;22319,5;A
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2019;4;4;0;1;0;0,17;0,11;-0,13;0,09;0,67;2,05;USD;7909;399,6;503,3;834,4;2005,9;-398,8;3527,6;A
ENTERGY CORP;7366;24010;29364G10;ETR;31/12/2019;5;5;2;1;0,4;0,62;0,07;0,09;0,06;0,8;3,94;USD;51723,91;4486,64;1680,52;3561,34;3561,34;1258,24;10878,67;A
EOG RESOURCES INC;16478;75825;26875P10;EOG;31/12/2019;9;4;4;0,4444;0,4444;0,55;0,21;0,11;0,13;0,42;0,72;USD;37124,61;6422,53;3532,04;7501,64;13510,44;2734,91;17122;A
EQT CORP;4430;24328;26884L10;EQT;31/12/2019;7;7;4;1;0,5714;4,06;0,09;-0,1;0,01;0,48;0,92;USD;18809,23;1602,45;201,03;1775,69;1775,69;-1221,7;4416,48;A
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2019;4;4;4;1;1;0,17;0,11;-0,13;0,09;0,67;2,05;USD;7909;399,6;503,3;834,4;2005,9;-398,8;3527,6;A
EXELON CORP;8539;21776;30161N10;EXC;31/12/2019;5;4;5;0,8;1;1,01;0,07;0,07;0,07;0,72;2,81;USD;124977;7248;4690;8942;8942;2936;34438;A
